Získané dáta po spustení programu saveData.py.

Time(ms), PixelValue
3950.00, [ 49  84 113]
3966.67, [ 49  84 113]
3983.33, [ 49  84 113]
4000.00, [ 49  84 113]
4016.67, [ 48  83 112]
4033.33, [ 48  83 112]
4050.00, [ 48  83 112]
4066.67, [ 48  83 112]
4083.33, [ 48  83 112]
4100.00, [ 48  83 112]
4116.67, [ 48  83 112]
4133.33, [ 48  83 112]
4150.00, [ 48  84 111]
4166.67, [ 48  84 111]
4183.33, [ 48  84 111]
4200.00, [ 48  83 112]
4216.67, [ 47  82 111]
4233.33, [ 48  83 112]
4250.00, [ 48  83 112]
4266.67, [ 48  83 112]
4283.33, [ 48  83 112]
4300.00, [ 48  83 112]
4316.67, [ 48  83 112]
4333.33, [ 48  83 112]
4350.00, [ 48  83 112]
4366.67, [ 48  83 112]
4383.33, [ 48  83 112]
4400.00, [ 48  84 111]
4416.67, [ 48  84 111]
4433.33, [ 48  83 112]
4450.00, [ 48  83 112]
4466.67, [ 51  85 112]
4483.33, [ 48  83 112]
4500.00, [ 48  83 112]
4516.67, [ 48  83 112]
4533.33, [ 49  85 112]
4550.00, [ 48  84 111]
4566.67, [ 48  84 111]
4583.33, [ 48  84 111]
4600.00, [ 50  84 111]
4616.67, [ 50  84 111]
4633.33, [ 50  84 111]
4650.00, [ 50  84 111]
4666.67, [ 51  85 112]
4683.33, [ 51  85 112]
4700.00, [ 51  85 112]
4716.67, [ 51  85 112]
4733.33, [ 51  85 112]
4750.00, [ 51  85 112]
4766.67, [ 51  85 112]
4783.33, [ 51  85 112]
4800.00, [ 50  84 111]
4816.67, [ 50  84 111]
4833.33, [ 50  84 111]
4850.00, [ 50  84 111]
4866.67, [ 50  84 111]
4883.33, [ 50  84 111]
4900.00, [ 50  84 111]
4916.67, [ 50  84 111]
4933.33, [ 51  85 112]
4950.00, [ 51  85 112]
4966.67, [ 51  85 112]
4983.33, [ 51  85 112]
5000.00, [ 51  85 112]
5016.67, [ 51  85 112]
5033.33, [ 51  85 112]
5050.00, [ 51  85 112]
5066.67, [ 51  85 112]
5083.33, [ 51  85 112]
5100.00, [ 51  85 112]
5116.67, [ 51  85 112]
5133.33, [ 51  85 112]
5150.00, [ 51  85 112]
5166.67, [ 51  85 112]
5183.33, [ 50  84 111]
5200.00, [ 51  85 112]
5216.67, [ 51  85 112]
5233.33, [ 51  85 112]
5250.00, [ 51  85 112]
5266.67, [ 51  85 112]
5283.33, [ 51  85 112]
5300.00, [ 51  85 112]
5316.67, [ 51  85 112]
5333.33, [ 51  85 112]
5350.00, [ 51  85 112]
5366.67, [ 51  85 112]
5383.33, [ 51  85 112]
5400.00, [ 51  85 112]
5416.67, [ 51  85 112]
5433.33, [ 51  85 112]
5450.00, [ 51  85 112]
5466.67, [ 51  85 112]
5483.33, [ 51  85 112]
5500.00, [ 51  85 112]
5516.67, [ 51  85 112]
5533.33, [ 51  85 112]
5550.00, [ 51  85 112]
5566.67, [ 51  85 112]
5583.33, [ 51  85 112]
5600.00, [ 51  85 112]
5616.67, [ 50  84 111]
5633.33, [ 51  85 112]
5650.00, [ 50  84 111]
5666.67, [ 50  84 111]
5683.33, [ 50  84 111]
5700.00, [ 50  84 111]
5716.67, [ 50  84 111]
5733.33, [ 50  84 111]
